Report_Num,Year,Occur_Date,Weekday,Location,Neighborho,Latitude,Longitude,GEOID,NAME
202250663,2020,8/11/2020,Tuesday,34 PEACHTREE ST NW @NULLTL BANK OF GA,Downtown,33.75481,-84.38957,13121,Fulton
202240905,2020,8/11/2020,Tuesday,1993 BENT CREEK WAY SW,Campbellton Road,33.7011,-84.46631,13121,Fulton
202251832,2020,8/12/2020,Wednesday,2727 LOGHAVEN DR NW,Collier Heights,33.76049,-84.47702,13121,Fulton
202260799,2020,8/13/2020,Thursday,246 ORMOND ST SW,Mechanicsville,33.73165,-84.3961,13121,Fulton
202260690,2020,8/13/2020,Thursday,62 HOWELL DR SW,Adamsville,33.75655,-84.50318,13121,Fulton
202272060,2020,8/14/2020,Friday,2105 MORELAND AVE SE,Norwood Manor,33.6966,-84.35021,13121,Fulton
202271015,2020,8/14/2020,Friday,I-75-85 SB EXPY SW / UNIVERSITY AVE SW,Pittsburgh,33.72213,-84.395,13121,Fulton
202271242,2020,8/14/2020,Friday,2100 BAKER RD NW,Grove Park,33.77013,-84.45584,13121,Fulton
202280230,2020,8/15/2020,Saturday,500 NORTHSIDE CIR NW,Loring Heights,33.79724,-84.40668,13121,Fulton
202301041,2020,8/16/2020,Sunday,1200 FOSTER ST NW,Blandtown,33.78651,-84.41448,13121,Fulton
202291341,2020,8/16/2020,Sunday,2280 CAMPBELLTON RD SW,Campbellton Road,33.70326,-84.46264,13121,Fulton
202290253,2020,8/16/2020,Sunday,3180 MARTIN L KING JR DR SW,,33.75128,-84.49033,13121,Fulton
202300322,2020,8/17/2020,Monday,2980 JONESBORO RD,South River Gardens,33.67339,-84.37144,13121,Fulton
202300216,2020,8/17/2020,Monday,1083 WESTVIEW DR SW,Ashview Heights,33.74725,-84.42314,13121,Fulton
202301065,2020,8/17/2020,Monday,2840 GREENBRIAR PKWY SW,Greenbriar,33.68764,-84.48965,13121,Fulton
202311580,2020,8/18/2020,Tuesday,761 SIDNEY MARCUS BLVD NE @QUICK TRIP - SIDNEY,Lindbergh/Morosgo,33.82545,-84.36218,13121,Fulton
202310933,2020,8/18/2020,Tuesday,3390 STRATFORD RD NE,North Buckhead,33.84983,-84.36779,13121,Fulton
202321194,2020,8/19/2020,Wednesday,840 CHEROKEE AVE SE,Grant Park,33.73716,-84.36985,13121,Fulton
202320270,2020,8/19/2020,Wednesday,1700 NORTHSIDE DR NW,Berkeley Park,33.80121,-84.40791,13121,Fulton
202331595,2020,8/20/2020,Thursday,381 MORELAND AVE SE,Ormewood Park,33.74357,-84.34957,13121,Fulton
202332001,2020,8/20/2020,Thursday,1280 PEACHTREE ST NE @WOODRUFF ARTS CENTER,Midtown,33.78934,-84.38535,13121,Fulton
202330702,2020,8/20/2020,Thursday,180 TED TURNER DR SW,Downtown,33.74958,-84.39736,13121,Fulton
202331173,2020,8/20/2020,Thursday,850 OAK ST SW,Adams Park,33.70646,-84.45738,13121,Fulton
202340339,2020,8/21/2020,Friday,1041 MARTIN ST SE,Lakewood,33.69536,-84.37408,13121,Fulton
202341730,2020,8/21/2020,Friday,56 PEACHTREE VALLEY RD NE,,33.81095,-84.39123,13121,Fulton
202340999,2020,8/21/2020,Friday,2909 3RD AVE SW,Hammond Park,33.67641,-84.4054,13121,Fulton
202361717,2020,8/23/2020,Sunday,960 E PACES FERRY RD NE,Buckhead Heights,33.84691,-84.35618,13121,Fulton
202360687,2020,8/23/2020,Sunday,2125 HOLLYWOOD DR NW,Almond Park,33.78328,-84.45753,13121,Fulton
202371472,2020,8/24/2020,Monday,650 PONCE DE LEON AVE NE,Midtown,33.77469,-84.36561,13121,Fulton
202370295,2020,8/24/2020,Monday,870 PROCTOR ST NW,English Avenue,33.76482,-84.41609,13121,Fulton
202380313,2020,8/25/2020,Tuesday,3000 W ROXBORO RD NE,Pine Hills,33.8365,-84.34942,13121,Fulton
202380993,2020,8/25/2020,Tuesday,80 JESSE HILL JR DR SE,Downtown,33.75168,-84.38198,13121,Fulton
202390273,2020,8/26/2020,Wednesday,2430 CHESHIRE BRIDGE RD NE,Lindridge/Martin Manor,33.82115,-84.35224,13121,Fulton
202391246,2020,8/26/2020,Wednesday,605 BOULEVARD NE,Old Fourth Ward,33.77097,-84.3714,13121,Fulton
202391119,2020,8/26/2020,Wednesday,333 PETERS ST,Castleberry Hill,33.74581,-84.40396,13121,Fulton
202390683,2020,8/26/2020,Wednesday,2001 JAMES JACKSON PKWY NW,Riverside,33.81063,-84.47569,13121,Fulton
202401425,2020,8/27/2020,Thursday,937 HARWELL ST NW,Washington Park,33.75575,-84.41824,13121,Fulton
202401680,2020,8/27/2020,Thursday,1176 CHATTAHOOCHEE AVE NW,Blandtown,33.80058,-84.42561,13121,Fulton
202400817,2020,8/27/2020,Thursday,2125 HOLLYWOOD DR NW,Almond Park,33.78328,-84.45753,13121,Fulton
202410437,2020,8/28/2020,Friday,20D BROAD ST SW,Downtown,33.75312,-84.39208,13121,Fulton
202410529,2020,8/28/2020,Friday,1530 DODSON DR SW,Cascade Heights,33.71378,-84.47353,13121,Fulton
202411272,2020,8/28/2020,Friday,3120 CAMPBELLTON RD SW,Southwest,33.69204,-84.49085,13121,Fulton
202420109,2020,8/29/2020,Saturday,299 N HIGHLAND AVE NE,Inman Park,33.76198,-84.35846,13121,Fulton
202421904,2020,8/29/2020,Saturday,1634 LAKEWOOD AVE SE,Thomasville Heights,33.70058,-84.36002,13121,Fulton
202421560,2020,8/29/2020,Saturday,270 PONCE DE LEON AVE NE,Midtown,33.77265,-84.37841,13121,Fulton
202420279,2020,8/29/2020,Saturday,95 8TH ST NW,Midtown,33.78007,-84.39002,13121,Fulton
202421620,2020,8/29/2020,Saturday,1808 LANIER DR SW,Sylvan Hills,33.70563,-84.4254,13121,Fulton
202431052,2020,8/30/2020,Sunday,1865 CHESHIRE BRIDGE RD NE,Morningside/Lenox Park,33.80943,-84.36148,13121,Fulton
202431073,2020,8/30/2020,Sunday,938 FAIR ST SW,Ashview Heights,33.74888,-84.41831,13121,Fulton
202441390,2020,8/31/2020,Monday,171 AUBURN AVE NE,Downtown,33.75546,-84.38185,13121,Fulton
202440826,2020,8/31/2020,Monday,1126 OAK ST SW,West End,33.74067,-84.42446,13121,Fulton
202451472,2020,9/1/2020,Tuesday,330 LUCKIE ST NW,Downtown,33.76372,-84.39626,13121,Fulton
202450815,2020,9/1/2020,Tuesday,2160 BAGWELL DR SW,Polar Rock,33.69563,-84.39813,13121,Fulton
202451447,2020,9/1/2020,Tuesday,580 ATLANTA STUDENT MOVE BLVD SW,Atlanta University Center,33.74887,-84.40674,13121,Fulton
202450215,2020,9/1/2020,Tuesday,1083 WESTVIEW DR SW,Ashview Heights,33.74725,-84.42314,13121,Fulton
202460060,2020,9/2/2020,Wednesday,300 PEACHTREE ST NE,Downtown,33.76293,-84.38714,13121,Fulton
202460962,2020,9/2/2020,Wednesday,851 DONULLLD LEE HOLLOWELL PKWY NW,English Avenue,33.77322,-84.41529,13121,Fulton
202471713,2020,9/3/2020,Thursday,737 PONCE DE LEON AVE NE,Poncey-Highland,33.77348,-84.36289,13121,Fulton
202470487,2020,9/3/2020,Thursday,180 PONCE DE LEON AVE NE,Midtown,33.77285,-84.38149,13121,Fulton
202480185,2020,9/4/2020,Friday,150 10TH ST NE,Midtown,33.78185,-84.38199,13121,Fulton
202480221,2020,9/4/2020,Friday,28 7TH ST NE,Midtown,33.77893,-84.3864,13121,Fulton
202481222,2020,9/4/2020,Friday,612 LEE ST SW,West End,33.7388,-84.4136,13121,Fulton
202490635,2020,9/5/2020,Saturday,303 PARKWAY DR NE,Old Fourth Ward,33.76286,-84.37405,13121,Fulton
202490249,2020,9/5/2020,Saturday,181 ROSSER ST SW,Ashview Heights,33.74988,-84.42459,13121,Fulton
202490687,2020,9/5/2020,Saturday,921 WESTMORELAND CIR NW,West Highlands,33.79009,-84.44969,13121,Fulton
202490539,2020,9/5/2020,Saturday,2621 DONULLLD LEE HOLLOWELL PKWY NW,Center Hill,33.77617,-84.47272,13121,Fulton
202501141,2020,9/6/2020,Sunday,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,North Buckhead,33.84911,-84.37075,13121,Fulton
202500383,2020,9/6/2020,Sunday,1861 PEACHTREE RD,South Tuxedo Park,33.84215,-84.37968,13121,Fulton
202510095,2020,9/7/2020,Monday,400 NORTHSIDE DR,Downtown,33.75657,-84.38034,13121,Fulton
202510424,2020,9/7/2020,Monday,2959 CAMPBELLTON RD SW,Southwest,33.69731,-84.48504,13121,Fulton
202520888,2020,9/8/2020,Tuesday,77 W PACES FERRY RD NW,South Tuxedo Park,33.84064,-84.38193,13121,Fulton
202521855,2020,9/8/2020,Tuesday,1197 JOSEPH E BOONE BLVD NW,Bankhead,33.7644,-84.42674,13121,Fulton
202531917,2020,9/9/2020,Wednesday,1829 CAMPBELLTON RD SW @VENETIAN HILLS APTS,Venetian Hills,33.71029,-84.44831,13121,Fulton
202531459,2020,9/9/2020,Wednesday,2060 ALISON CT SW,Campbellton Road,33.70042,-84.45512,13121,Fulton
202530954,2020,9/9/2020,Wednesday,855 OAK ST NW,Center Hill,33.77848,-84.46302,13121,Fulton
202541753,2020,9/10/2020,Thursday,2391 PEACHTREE RD NE,Peachtree Hills,33.8206,-84.3881,13121,Fulton
202541214,2020,9/10/2020,Thursday,283 JOSEPH E LOWERY BLVD NW,Washington Park,33.76216,-84.41775,13121,Fulton
202540982,2020,9/10/2020,Thursday,2328 CAMPBELLTON RD,Campbellton Road,33.70648,-84.45706,13121,Fulton
202571248,2020,9/12/2020,Saturday,50 MOUNT ZION RD SW @BRANDYWINE TOWNHOUS,Glenrose Heights,33.67086,-84.38939,13121,Fulton
202560318,2020,9/12/2020,Saturday,1365 BEATIE AVE SW,Capitol View,33.71756,-84.41111,13121,Fulton
202571748,2020,9/13/2020,Sunday,639 MOROSGO DRIVE,Lindbergh/Morosgo,33.82329,-84.36696,13121,Fulton
202570987,2020,9/13/2020,Sunday,107 CENTER ST NW,Downtown,33.76798,-84.39325,13121,Fulton
202570540,2020,9/13/2020,Sunday,576 MCAFEE ST NW,Downtown,33.76725,-84.39444,13121,Fulton
202562049,2020,9/13/2020,Sunday,488 COOPER ST SW,Mechanicsville,33.74215,-84.3981,13121,Fulton
202571029,2020,9/13/2020,Sunday,1975 HOWELL MILL RD NW,Channing Valley,33.80866,-84.41272,13121,Fulton
202580162,2020,9/14/2020,Monday,675 EVANS ST SW,West End,33.73662,-84.41586,13121,Fulton
202580057,2020,9/14/2020,Monday,2900 LANDRUM DR SW,Southwest,33.70623,-84.48372,13121,Fulton
202590305,2020,9/15/2020,Tuesday,265 PEACHTREE CENTER AVE NE @MARIOTT,Downtown,33.76158,-84.38496,13121,Fulton
202591311,2020,9/15/2020,Tuesday,230 18TH ST NW,Atlantic Station,33.79212,-84.39554,13121,Fulton
202590295,2020,9/15/2020,Tuesday,3537 MARTIN L KING JR DR NW,Adamsville,33.75819,-84.50327,13121,Fulton
202610733,2020,9/16/2020,Wednesday,1155 LAVISTA RD NE,Lindridge/Martin Manor,33.81806,-84.35082,13121,Fulton
202600153,2020,9/16/2020,Wednesday,1860 JOSEPH E BOONE BLVD NW,Dixie Hills,33.76352,-84.44765,13121,Fulton
202611863,2020,9/17/2020,Thursday,110 HILLARD ST.,Sweet Auburn,33.75277,-84.37546,13121,Fulton
202611539,2020,9/17/2020,Thursday,246 ROSSER,Ashview Heights,33.74824,-84.42414,13121,Fulton
